0134+329,0224+671,0235+164,0300+470,0316+413,0355+508,0444+634
9.325,1.470,2.520,2.050,41.175,8.410,0.453
9.082,1.480,2.500,2.110,41.626,8.470,0.481
9.171,1.470,2.450,2.100,42.051,8.430,0.475
9.579,1.500,2.460,2.090,40.827,8.490,0.457
9.628,1.490,2.510,2.110,41.899,8.540,0.470
9.731,1.520,2.510,2.040,41.266,8.490,0.485
9.705,1.490,2.460,2.030,41.253,8.410,0.476
9.594,1.510,2.490,2.050,41.712,8.520,0.476
9.591,1.510,2.500,2.100,41.494,8.500,0.454
9.523,1.500,2.380,2.140,41.080,8.490,0.448
9.615,1.540,2.470,2.120,41.037,8.490,0.476
9.498,1.550,2.460,2.170,41.301,8.510,0.516
9.255,1.490,2.420,2.220,40.593,8.470,0.514
9.540,1.440,2.350,2.230,41.666,8.610,0.492
9.530,1.440,2.440,2.320,41.398,8.400,0.499
9.701,1.450,2.350,2.270,40.698,8.550,0.486
9.545,1.440,2.310,2.290,40.950,8.500,0.470
9.528,1.470,2.170,2.270,40.124,8.500,0.489
9.571,1.470,2.080,2.230,40.424,8.590,0.513
9.590,1.480,2.070,2.170,39.832,8.540,0.501
9.665,1.440,2.260,2.090,40.530,8.490,0.525
9.740,1.360,2.190,2.010,40.660,8.510,0.523
9.534,1.400,2.070,2.150,40.858,8.370,0.489
9.597,1.420,1.930,2.110,40.343,8.530,0.475
9.351,1.410,1.870,2.010,40.485,8.480,0.491
9.602,1.300,1.800,2.010,40.635,8.520,0.506
9.485,1.340,1.710,2.010,41.357,8.410,0.528
9.680,1.350,1.740,2.020,41.495,8.440,0.503
9.535,1.340,1.770,1.950,41.122,8.420,0.514
9.500,1.370,1.670,1.990,41.615,8.490,0.490
9.509,1.370,1.720,2.030,41.695,8.520,0.504
9.581,1.330,1.620,1.950,40.412,8.470,0.501
9.089,1.300,1.660,1.920,41.690,8.490,0.473
9.421,1.310,1.620,1.900,41.269,8.630,0.493
9.357,1.390,1.730,1.930,40.563,8.340,0.486
9.340,1.290,1.690,1.930,41.672,8.280,0.494
9.298,1.380,1.640,1.970,41.343,8.370,0.526
9.553,1.400,1.610,2.000,39.314,8.510,0.503
9.463,1.360,1.630,2.100,40.844,8.330,0.519
9.433,1.390,1.640,2.150,39.724,8.340,0.528
9.512,1.410,1.640,2.160,40.524,8.400,0.511
9.303,1.400,1.780,2.130,40.281,8.480,0.527
9.332,1.470,1.920,2.150,40.668,8.260,0.517
9.453,1.400,1.810,2.160,39.982,8.470,0.511
9.432,1.420,1.720,2.100,40.333,8.320,0.543
9.509,1.410,1.920,2.070,40.683,8.410,0.552
9.413,1.380,1.950,2.070,40.665,8.410,0.501
9.497,1.390,1.930,2.120,40.676,8.550,0.499
9.508,1.460,2.050,2.140,40.615,8.390,0.506
9.568,1.490,2.050,2.200,41.306,8.390,0.489
9.756,1.530,2.120,2.150,40.875,8.420,0.491
9.595,1.450,2.190,2.110,40.641,8.330,0.481
9.478,1.480,2.190,2.070,40.931,8.350,0.479
9.568,1.470,2.190,2.020,40.439,8.390,0.490
10.333,1.470,2.090,2.000,40.478,8.360,0.479
9.690,1.470,2.180,2.000,40.906,8.480,0.499
9.645,1.430,2.420,1.980,40.760,8.210,0.492
9.643,1.490,2.310,1.980,40.462,8.340,0.504
10.015,1.460,2.440,1.970,40.823,8.310,0.491
9.691,1.520,2.400,1.960,40.182,8.330,0.516
9.376,1.460,2.400,1.930,40.611,8.240,0.490
9.372,1.570,2.420,1.960,40.169,8.500,0.488
9.473,1.390,2.500,1.930,40.619,8.290,0.479
9.644,1.440,2.590,1.960,40.520,8.370,0.498
9.441,1.440,2.620,1.970,40.567,8.380,0.493
9.743,1.490,2.810,1.980,40.925,8.190,0.481
9.517,1.440,2.550,1.970,40.784,8.300,0.496
9.409,1.460,2.850,1.960,40.391,8.360,0.509
9.335,1.500,2.580,1.970,40.723,8.230,0.485
9.467,1.470,2.810,1.960,40.556,8.330,0.492
9.377,1.480,2.610,1.970,40.686,8.300,0.499
9.297,1.500,2.800,1.900,40.791,8.290,0.509
9.588,1.460,2.860,1.920,40.681,8.320,0.525
9.549,1.490,2.720,1.900,40.591,8.310,0.504
9.516,1.460,2.820,1.900,39.290,8.280,0.499
9.480,1.430,2.890,1.930,39.865,8.440,0.483
9.803,1.450,2.830,1.920,39.835,8.260,0.473
9.574,1.420,2.820,1.940,39.442,8.300,0.483
9.622,1.420,2.890,1.900,40.148,8.320,0.476
9.641,1.440,3.020,1.970,39.736,8.320,0.484
9.427,1.410,3.040,1.900,39.659,8.350,0.486
9.533,1.440,3.070,1.910,40.913,8.220,0.474
9.725,1.410,3.130,1.950,39.801,8.330,0.470
9.491,1.370,2.830,1.980,40.045,8.230,0.469
9.501,1.410,3.110,1.930,39.617,8.210,0.481
9.552,1.420,3.040,1.920,40.705,8.290,0.493
9.444,1.440,2.900,1.940,39.887,8.260,0.504
